"election_type","currency","conversion_status","rows"
"Internal elections","USD","USD used directly",4268
"Internal elections","UYU","UYU missing exchange rate",4638
"Internal elections","BRL","Unsupported currency excluded",355
"Internal elections","EUR","Unsupported currency excluded",208
"Internal elections","ARS","Unsupported currency excluded",103
"Internal elections","GBP","Unsupported currency excluded",91
"Internal elections","ILS","Unsupported currency excluded",65
"Internal elections","COP","Unsupported currency excluded",53
"Internal elections","MXN","Unsupported currency excluded",51
"Internal elections","CAD","Unsupported currency excluded",44
"Internal elections","CHF","Unsupported currency excluded",41
"Internal elections","INR","Unsupported currency excluded",20
"Internal elections","CLP","Unsupported currency excluded",19
"Internal elections","PEN","Unsupported currency excluded",15
"Internal elections","HKD","Unsupported currency excluded",9
"Internal elections","KRW","Unsupported currency excluded",7
"Internal elections","SEK","Unsupported currency excluded",7
"Internal elections","PLN","Unsupported currency excluded",6
"Internal elections","TRY","Unsupported currency excluded",6
"Internal elections","AUD","Unsupported currency excluded",5
"Internal elections","GTQ","Unsupported currency excluded",4
"Internal elections","NOK","Unsupported currency excluded",4
"Internal elections","NZD","Unsupported currency excluded",4
"Internal elections","VND","Unsupported currency excluded",4
"Internal elections","BOB","Unsupported currency excluded",3
"Internal elections","CZK","Unsupported currency excluded",3
"Internal elections","JPY","Unsupported currency excluded",3
"Internal elections","QAR","Unsupported currency excluded",3
"Internal elections","TWD","Unsupported currency excluded",3
"Internal elections","AED","Unsupported currency excluded",2
"Internal elections","EGP","Unsupported currency excluded",2
"Internal elections","IDR","Unsupported currency excluded",2
"Internal elections","CNY","Unsupported currency excluded",1
"Internal elections","CRC","Unsupported currency excluded",1
"Internal elections","DKK","Unsupported currency excluded",1
"Internal elections","HNL","Unsupported currency excluded",1
"Internal elections","HUF","Unsupported currency excluded",1
"Internal elections","NGN","Unsupported currency excluded",1
"Internal elections","PHP","Unsupported currency excluded",1
"Internal elections","PKR","Unsupported currency excluded",1
"Internal elections","PYG","Unsupported currency excluded",1
"Internal elections","SGD","Unsupported currency excluded",1
"National elections","USD","USD used directly",3452
"National elections","UYU","UYU converted to USD",4094
"National elections","UYU","UYU missing exchange rate",12
"National elections","BRL","Unsupported currency excluded",139
"National elections","EUR","Unsupported currency excluded",71
"National elections","ARS","Unsupported currency excluded",39
"National elections","GBP","Unsupported currency excluded",34
"National elections","CHF","Unsupported currency excluded",25
"National elections","COP","Unsupported currency excluded",25
"National elections","KRW","Unsupported currency excluded",20
"National elections","AED","Unsupported currency excluded",13
"National elections","MXN","Unsupported currency excluded",13
"National elections","ILS","Unsupported currency excluded",10
"National elections","PEN","Unsupported currency excluded",8
"National elections","CNY","Unsupported currency excluded",7
"National elections","AUD","Unsupported currency excluded",5
"National elections","HKD","Unsupported currency excluded",5
"National elections","EGP","Unsupported currency excluded",4
"National elections","BOB","Unsupported currency excluded",3
"National elections","CAD","Unsupported currency excluded",3
"National elections","PLN","Unsupported currency excluded",3
"National elections","RON","Unsupported currency excluded",3
"National elections","TRY","Unsupported currency excluded",3
"National elections","PYG","Unsupported currency excluded",2
"National elections","THB","Unsupported currency excluded",2
"National elections","CLP","Unsupported currency excluded",1
"National elections","GTQ","Unsupported currency excluded",1
"National elections","LKR","Unsupported currency excluded",1
"National elections","MYR","Unsupported currency excluded",1
"National elections","NZD","Unsupported currency excluded",1
"National elections","VND","Unsupported currency excluded",1
"National elections","ZAR","Unsupported currency excluded",1
