"election_type","term","estimate","std_error","statistic","p_value"
"Internal elections","(Intercept)",669.65247755827,89.4504526964998,7.48629500881748,1.12036498231841e-13
"Internal elections","part_orgPartido Nacional",-197.673721101938,73.008452505684,-2.70754569255591,0.00684471478469004
"Internal elections","part_orgPartido Colorado",125.280336763319,87.8429900665892,1.42618479480663,0.153994702443115
"Internal elections","part_orgOtros",-190.605230193729,98.1995791948296,-1.94099844170987,0.052420044515218
"Internal elections","departamento_binMontevideo",278.822675732747,71.3772002644076,3.90632687608767,9.73001148048654e-05
"Internal elections","promedio_gasto",0.497686707253702,0.175981140306873,2.82806843043432,0.00473670542121874
"Internal elections","spend_squared",-0.000258168038053925,7.91246793202983e-05,-3.26280043434812,0.00112458064837596
"Internal elections","ads_per_day_to_election",-0.643263315102117,0.345219625123988,-1.86334515273019,0.0625823695635578
"Internal elections","numero_dias",16.6458447262709,1.98426515531767,8.3889215519717,1.00175797798573e-16
"Internal elections","followers",0.00172893826919167,0.00107600889594075,1.60680666834085,0.10827853730889
"Internal elections","num_admins",8.75684771316245,10.0093273020806,0.874868754800559,0.381766271411593
"Internal elections","account_age_days",-0.0331397040553963,0.0152342212006215,-2.17534612494955,0.029738650471281
"National elections","(Intercept)",867.44688574594,35.0374333919257,24.7577177255752,4.28343958703457e-125
"National elections","part_orgPartido Nacional",-311.606680342571,29.9801297071573,-10.3937735889174,5.94548560494442e-25
"National elections","part_orgPartido Colorado",-168.158714697804,40.3680158496836,-4.16564230761224,3.17764712436943e-05
"National elections","part_orgOtros",-142.651954242924,40.5947821088768,-3.51404655554809,0.000446768830096585
"National elections","departamento_binMontevideo",75.046462394018,31.0235136640477,2.41901878706239,0.0156117065104908
"National elections","promedio_gasto",-0.351313304432563,0.0491868688186125,-7.14242058643961,1.10448605990583e-12
"National elections","spend_squared",2.64163991721836e-05,6.36083004257606e-06,4.15297987768358,3.35787065718706e-05
"National elections","ads_per_day_to_election",-1.34748560480048,0.48336272765028,-2.78773171309851,0.00533570231141972
"National elections","numero_dias",23.4744153924819,1.98575801550064,11.8213877064793,1.15700298898524e-31
"National elections","followers",0.00400246594529634,0.000450389318649341,8.88668043305115,9.75329689473504e-19
"National elections","num_admins",-0.442604476501541,0.770844811108812,-0.57418104153141,0.565881169857909
"National elections","account_age_days",-0.045804656996851,0.00776125878699166,-5.90170464018315,3.93041249724716e-09
